IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-11-1,31,22,14,17,15,11,100,59,24,1019,1016,1014,2,1,0,8,2,,0.00,,Fog,318
2016-11-2,30,23,16,21,17,15,88,65,33,1019,1016,1014,2,0,0,6,2,,0.00,,Fog,341
2016-11-3,32,23,14,18,17,15,100,60,27,1019,1016,1014,2,1,0,6,2,,0.00,1,Fog,358
2016-11-4,31,23,14,19,16,12,100,59,21,1016,1013,1010,2,1,0,16,3,,0.00,1,Fog,276
2016-11-5,29,22,15,19,16,15,100,66,34,1013,1010,1008,0,0,0,13,5,,0.00,,Fog,281
2016-11-6,30,22,13,17,15,12,100,63,24,1013,1011,1010,0,0,0,10,2,,0.00,,Fog,290
2016-11-7,29,21,14,16,14,12,100,52,26,1015,1013,1011,2,1,0,19,6,,0.00,,Fog,289
2016-11-8,29,22,16,15,13,11,82,52,23,1015,1014,1012,2,1,0,23,13,,0.00,,Fog-Tornado,274
2016-11-9,29,21,12,15,12,10,82,50,20,1017,1015,1013,2,1,0,16,6,,0.00,,Fog,259
2016-11-10,30,21,11,16,12,8,86,49,25,1016,1014,1012,3,1,1,8,3,,0.00,,,243
2016-11-11,30,21,11,16,14,11,92,54,25,1016,1014,1012,2,1,1,10,3,,0.00,,,112
2016-11-12,30,21,12,18,14,13,100,58,26,1017,1015,1013,2,1,0,11,2,,0.00,,Fog,120
2016-11-13,30,22,14,18,14,12,94,56,24,1019,1016,1014,2,1,0,13,3,,0.00,2,,135
2016-11-14,29,21,13,17,15,13,88,60,36,1018,1016,1014,3,2,1,6,2,,0.00,3,,47
2016-11-15,28,20,12,17,13,9,94,55,32,1018,1016,1014,3,2,0,10,3,,0.00,1,,318
2016-11-16,27,19,11,15,12,10,89,53,26,1020,1017,1015,3,2,0,16,6,,0.00,,Fog,281
2016-11-17,27,19,11,14,12,10,85,51,24,1019,1017,1015,3,2,1,24,10,,0.00,,,275
2016-11-18,28,20,12,13,12,9,86,54,30,1018,1015,1012,3,2,1,14,8,,0.00,,,284
2016-11-19,28,19,10,16,12,10,90,59,24,1015,1012,1010,3,2,1,8,2,,0.00,,,275
2016-11-20,29,20,10,17,13,10,100,60,30,1016,1013,1011,3,2,0,8,2,,0.00,,Fog,108
2016-11-21,31,21,11,17,13,11,96,58,22,1016,1013,1011,3,2,0,11,2,,0.00,,Fog,272
2016-11-22,31,21,11,15,12,9,88,50,22,1015,1013,1010,4,3,1,14,6,,0.00,,,266
2016-11-23,29,20,12,13,12,11,81,51,27,1015,1013,1011,4,3,2,14,6,,0.00,,,277
2016-11-24,28,19,10,12,11,8,94,51,20,1017,1015,1013,2,2,1,19,6,,0.00,,,286
2016-11-25,29,22,14,11,7,4,63,32,13,1016,1013,1010,3,2,2,27,13,34,0.00,,,289
2016-11-26,31,23,17,11,8,6,46,31,15,1015,1013,1011,4,3,2,23,16,,0.00,,,294
2016-11-27,29,21,13,10,7,3,63,34,11,1016,1014,1011,4,3,2,21,11,,0.00,,,276
2016-11-28,29,21,13,11,7,4,71,36,14,1015,1013,1011,4,2,1,21,8,,0.00,,,283
2016-11-29,28,19,9,15,11,8,87,53,24,1017,1015,1013,4,2,2,6,2,,0.00,,,354
2016-11-30,26,18,11,18,16,11,100,79,52,1019,1017,1014,2,1,0,10,3,,0.00,,Fog,109
2016-12-1,26,19,12,21,17,13,100,84,60,1019,1017,1015,2,1,0,10,2,,0.00,,Fog,132
2016-12-2,24,18,11,17,15,12,99,75,48,1020,1018,1016,2,1,0,13,5,,0.00,,Fog,278
2016-12-3,27,19,12,13,11,7,98,53,21,1021,1019,1017,3,2,0,11,5,,0.00,,Fog,262
2016-12-4,26,17,8,12,9,6,89,56,21,1022,1020,1017,4,2,1,11,5,,0.00,,Fog,279
2016-12-5,26,17,8,13,9,6,94,56,24,1019,1017,1015,3,2,1,13,5,,0.00,,,261
2016-12-6,24,17,9,17,13,9,94,69,29,1020,1018,1016,2,1,0,8,2,,0.00,,Fog,82
2016-12-7,24,18,11,16,13,12,100,76,44,1020,1017,1015,1,0,0,8,0,,0.00,,Fog,25
2016-12-8,24,16,8,15,12,9,100,74,41,1019,1016,1014,2,1,0,8,2,,0.00,,Fog,90
2016-12-9,26,17,7,17,13,8,100,68,39,1016,1013,1011,2,1,0,8,2,,0.00,,Fog,120
2016-12-10,21,16,11,15,14,12,95,82,53,1016,1014,1012,2,1,0,10,5,,0.00,,Fog,90
2016-12-11,26,19,12,16,14,13,100,69,38,1016,1013,1011,2,1,0,10,5,,0.00,,Fog,232
2016-12-12,27,19,11,16,12,6,100,64,17,1016,1014,1013,3,1,0,11,2,,0.00,1,Fog,297
2016-12-13,26,18,11,13,11,9,94,63,23,1016,1015,1014,3,2,0,10,2,,0.00,2,Fog,277
2016-12-14,24,17,10,12,10,7,91,58,21,1019,1017,1016,3,2,0,14,8,,0.00,,Fog,281
2016-12-15,24,17,10,12,9,6,94,56,23,1019,1017,1015,3,2,0,23,10,,0.00,,Fog,268
2016-12-16,10,10,8,9,8,7,93,92,91,1018,1018,1018,2,2,2,0,0,,0.00,,,-1

